Date,Open
11/3/15,3
11/4/15,-3
11/5/15,4
11/6/15,2
11/7/15,2
11/8/15,-2
11/9/15,1
11/10/15,2
11/11/15,1
11/12/15,0
11/13/15,3
11/14/15,1
11/15/15,0
11/16/15,1
11/17/15,2
11/18/15,0
11/19/15,-1
11/20/15,2
11/21/15,1
11/22/15,1
11/23/15,-1
11/24/15,2
11/25/15,2
11/26/15,1
11/27/15,2
11/28/15,0
11/29/15,0
11/30/15,1
12/1/15,-1
12/2/15,1
12/3/15,0
12/4/15,1
12/5/15,0
12/6/15,0
12/7/15,-1
12/8/15,1
12/9/15,1
12/10/15,1
12/11/15,1
12/12/15,0
12/13/15,0
12/14/15,-2
12/15/15,1
12/16/15,1
12/17/15,1
12/18/15,1
12/19/15,0
12/20/15,1
12/21/15,2
12/22/15,1
12/23/15,1
12/24/15,4
12/25/15,2
12/26/15,-4
12/27/15,2
12/28/15,2
12/29/15,0
12/30/15,1
12/31/15,0
1/1/16,2
1/2/16,1
1/3/16,0
1/4/16,-1
1/5/16,1
1/6/16,-2
1/7/16,0
1/8/16,1
1/9/16,2
1/10/16,0
1/11/16,-1
1/12/16,-1
1/13/16,1
1/14/16,2
1/15/16,3
1/16/16,1
1/17/16,0
1/18/16,-1
1/19/16,-1
1/20/16,-1
1/21/16,3
1/22/16,1
1/23/16,2
1/24/16,2
1/25/16,3
1/26/16,0
1/27/16,0
1/28/16,1
1/29/16,1
1/30/16,2
1/31/16,1
2/1/16,1
2/2/16,1
2/3/16,-1
2/4/16,2
2/5/16,1
2/6/16,1
2/7/16,1
2/8/16,2
2/9/16,-1
2/10/16,2
2/11/16,-2
2/12/16,2
2/13/16,0
2/14/16,0
2/15/16,2
2/16/16,1
2/17/16,4
2/18/16,0
2/19/16,2
2/20/16,-1
2/21/16,1
2/22/16,1
2/23/16,1
2/24/16,-1
2/25/16,0
2/26/16,0
2/27/16,1
2/28/16,-2
3/1/16,3
2/29/16,0
3/2/16,-1
3/3/16,1
3/4/16,1
3/7/16,-2
3/8/16,1
3/9/16,-1
3/10/16,-1
3/11/16,3
3/12/16,1
3/13/16,1
3/14/16,2
3/15/16,-2
