Date,Open,High,Close
10/1/10,10789.72,10907.41,10829.68
9/30/10,10835.96,10960.99,10788.05
9/29/10,10857.98,10901.96,10835.28
9/28/10,10809.85,10905.44,10858.14
9/27/10,10860.03,10902.52,10812.04
9/24/10,10664.39,10897.83,10860.26
9/23/10,10738.48,10779.65,10662.42
9/22/10,10761.11,10829.75,10739.31
9/21/10,10753.39,10844.89,10761.03
9/20/10,10608.08,10783.51,10753.62
9/17/10,10595.44,10689.29,10607.85
9/16/10,10571.75,10624.58,10594.83
9/15/10,10526.42,10609.21,10572.73
9/14/10,10544.81,10622.69,10526.49
9/13/10,10458.6,10605.73,10544.13
9/10/10,10415.01,10502.8,10462.77
9/9/10,10388.22,10515.86,10415.24
9/8/10,10338.57,10460.5,10387.01
9/7/10,10446.8,10448.99,10340.69
9/3/10,10321.92,10484.71,10447.93
9/2/10,10270.08,10350.98,10320.1
9/1/10,10016.01,10305.87,10269.47
8/31/10,10006.42,10101.53,10014.72
8/30/10,10145.58,10170.1,10009.73
8/27/10,9982.4,10176.3,10150.65
8/26/10,10059.83,10138.12,9985.81
8/25/10,10040.15,10104.18,10060.06
8/24/10,10170.86,10170.86,10040.45
8/23/10,10215.51,10328.88,10174.41
8/20/10,10270.98,10276.13,10213.62
8/19/10,10411.15,10412.29,10271.21
8/18/10,10398.59,10486.38,10415.54
8/17/10,10297.55,10501.67,10405.85
8/16/10,10303.07,10354.39,10302.01
8/13/10,10320.33,10381.86,10303.15
8/12/10,10361.58,10388.37,10319.95
8/11/10,10631.82,10631.82,10378.83
8/10/10,10696.63,10717.21,10644.25
8/9/10,10654.62,10755.66,10698.75
8/6/10,10668.55,10688.08,10653.56
8/5/10,10679.67,10712.37,10674.98
8/4/10,10630.2,10738.48,10680.43
8/3/10,10673.92,10714.19,10636.38
8/2/10,10468.82,10715.21,10674.38
7/30/10,10465.19,10528.84,10465.94
7/29/10,10498.94,10609.74,10467.16
7/28/10,10537.01,10586.36,10497.88
7/27/10,10525.28,10632.52,10537.69
7/26/10,10424.17,10545.94,10525.43
7/23/10,10321.16,10465.19,10424.62
7/22/10,10121.81,10391.78,10322.3
7/21/10,10226.02,10310.04,10120.53
7/20/10,10151.48,10248.2,10229.96
7/19/10,10098.12,10213.09,10154.43
7/16/10,10356.2,10356.2,10097.9
7/15/10,10367.1,10409.49,10359.31
7/14/10,10370.96,10423.03,10366.72
7/13/10,10217.55,10436.2,10363.02
7/12/10,10199.24,10260.62,10216.27
7/9/10,10137.93,10226.48,10198.03
7/8/10,10019.26,10175.02,10138.99
7/7/10,9736.85,10029.93,10018.28
7/6/10,9689.21,9880.76,9743.62
7/2/10,9732.23,9798.19,9686.48
7/1/10,9773.27,9834.71,9732.53
6/30/10,9868.34,9951.47,9774.02
6/29/10,10135.72,10135.72,9870.3
6/28/10,10143.05,10246.82,10138.52
6/25/10,10153.48,10261.1,10143.81
6/24/10,10297.08,10314.31,10152.8
6/23/10,10293.3,10393.89,10298.44
6/22/10,10441.95,10524.78,10293.52
6/21/10,10452.46,10627.19,10442.41
6/18/10,10435,10513.75,10450.64
6/17/10,10409.98,10479.74,10434.17
6/16/10,10404.24,10456.39,10409.46
6/15/10,10192.4,10416.11,10404.77
6/14/10,10211.83,10354.97,10190.89
6/11/10,10166.78,10235.1,10211.07
6/10/10,9901.67,10206.61,10172.53
6/9/10,9941.57,10093.33,9899.25
6/8/10,9812.94,9971.57,9939.98
6/7/10,9931.75,10025.84,9816.49
6/4/10,10249.61,10249.61,9931.97
6/3/10,10250.67,10348.84,10255.28
6/2/10,10025.61,10256.57,10249.54
6/1/10,10133.94,10249.27,10024.02
5/28/10,10258,10293.45,10136.63
5/27/10,9971.73,10279.01,10258.99
5/26/10,10045.11,10211.6,9974.45
5/25/10,10061.43,10061.43,10043.75
5/24/10,10193.46,10235.63,10066.57
5/21/10,10063.93,10225.88,10193.39
5/20/10,10440.21,10440.21,10068.01
5/19/10,10505.7,10558.56,10444.37
5/18/10,10625.45,10760.05,10510.95
5/17/10,10616.98,10707.3,10625.83
5/14/10,10780.68,10780.68,10620.16
5/13/10,10896.61,10952.84,10782.95
5/12/10,10742.15,10941.88,10896.91
5/11/10,10780,10888.3,10748.26
5/10/10,10386.18,10880.14,10785.14
5/7/10,10519.42,10622.27,10380.43
5/6/10,10862.22,10925.86,10520.32
5/5/10,10918.4,10984.05,10868.12
5/4/10,11149.48,11149.48,10926.77
5/3/10,11009.6,11203.37,11151.83
4/30/10,11168.23,11235.94,11008.61
4/29/10,11045.64,11232.54,11167.32
4/28/10,10988.87,11115.63,11045.27
4/27/10,11203.67,11260.88,10991.99
4/26/10,11205.11,11308.95,11205.03
4/23/10,11132.18,11247.2,11204.28
4/22/10,11119.78,11175.33,11134.29
4/21/10,11116.91,11217.35,11124.92
4/20/10,11093.11,11190.22,11117.06
4/19/10,11018.36,11116.76,11092.05
4/16/10,11143.66,11186.82,11018.66
4/15/10,11122.96,11189.61,11144.57
4/14/10,11020.7,11147.14,11123.11
4/13/10,11006.72,11072.7,11019.42
4/12/10,10996.75,11066.96,11005.97
4/9/10,10926.92,11032.12,10997.35
4/8/10,10896.99,10969.92,10927.07
4/7/10,10961.95,11000.22,10897.52
4/6/10,10972.49,11017.76,10969.99
4/5/10,10927.45,11026.75,10973.55
4/1/10,10857.31,10983.14,10927.07
3/31/10,10907.34,10933.19,10856.63
3/30/10,10895.02,10968.56,10907.42
3/29/10,10849.23,10954.43,10895.86
3/26/10,10841.29,10934.85,10850.36
3/25/10,10837.51,10985.26,10841.21
3/24/10,10887.62,10925.48,10836.15
3/23/10,10787.18,10906.06,10888.83
3/22/10,10741,10836.68,10785.89
3/19/10,10780,10869.55,10741.98
3/18/10,10733.44,10821.49,10779.17
3/17/10,10686.36,10787.86,10733.67
3/16/10,10642.53,10717.42,10685.98
3/15/10,10623.41,10680.32,10642.15
3/12/10,10611.77,10690.9,10624.69
3/11/10,10560.98,10626.73,10611.84
3/10/10,10560.13,10639.05,10567.33
3/9/10,10552.24,10637.46,10564.38
3/8/10,10563.78,10632.48,10552.52
3/5/10,10445.13,10587.13,10566.2
3/4/10,10396.53,10484.05,10444.14
3/3/10,10406.28,10496.22,10396.76
3/2/10,10404.16,10493.8,10405.98
3/1/10,10326.1,10444.6,10403.79
2/26/10,10321.41,10391.24,10325.26
2/25/10,10366.6,10366.6,10321.03
2/24/10,10284,10416.94,10374.16
2/23/10,10383.16,10430.16,10282.41
2/22/10,10402.43,10468.55,10383.38
2/19/10,10387.77,10459.18,10402.35
2/18/10,10309.39,10416.79,10392.9
2/17/10,10261.48,10366.83,10309.24
2/16/10,10100.81,10292.62,10268.81
2/12/10,10137.23,10140.18,10099.14
2/11/10,10037.85,10184.85,10144.19
2/10/10,10055.46,10120.15,10038.38
2/9/10,9910.28,10154.24,10058.64
2/8/10,10005.43,10059.24,9908.39
2/5/10,10003.69,10078.89,10012.23
2/4/10,10273.12,10273.12,10002.18
2/3/10,10291.73,10356.86,10270.55
2/2/10,10186.13,10333.35,10296.85
2/1/10,10068.99,10227.24,10185.53
1/29/10,10122.04,10272.29,10067.33
1/28/10,10236.92,10310.68,10120.46
1/27/10,10194.29,10294.13,10236.16
1/26/10,10195.35,10323,10194.29
1/25/10,10175.1,10316.65,10196.86
1/22/10,10389.58,10450.04,10172.98
1/21/10,10603.91,10651.14,10389.88
1/20/10,10719.69,10719.69,10603.15
1/19/10,10608.37,10763.45,10725.43
1/15/10,10706.99,10736.54,10609.65
1/14/10,10680.16,10767.15,10710.55
1/13/10,10628.09,10747.12,10680.77
1/12/10,10662.86,10701.48,10627.26
1/11/10,10620.31,10739.87,10663.99
1/8/10,10606.4,10653.11,10618.19
1/7/10,10571.11,10655.6,10606.86
